Company Name,Industry,Symbol, Net Income,ROA ,operating cash flow 2020,Long term debt 2019,Long term debt 2020,Current Ratio 2019,Current Ratio 2020,Outstanding Shares in 2019,Outstanding Shares in 2020,Gross margin 2019,Gross margin 2020,Asset Turnover Ratio 2019,Asset Turnover Ratio 2020 ,,,
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,1066,0.68,-2606,0,0,0.91,1.15,1435839481,1435872991,67.46,40.24,1.05,1.69,,,
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,542,12.19,-1342,0,1519.3,1.7,3.56,322141400,322145240,47.78,52.79,36.54,38.4,,,
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,-2843,-1.9,-5363,699833.9,573971.85,,,4782477126,5672343720,,,,,,,
ITC Ltd.,CONSUMER GOODS,ITC,15584,19.78,334,81.5,2099,3.17,4.13,12258631601,12292231241,42.56,44.24,67.34,63.85,,,
Indiamart Intermesh Ltd.,CONSUMER SERVICES,INDIAMART,149,13.12,-23,0,612.49,1.71,1.88,28919820,28919820,11.44,37.17,61.82,56.89,,,
Indian Bank,FINANCIAL SERVICES,INDIANB,758,0.27,-6091,121375.4,208303.1,,,491534626,1129366570,,,,,,,
Indian Hotels Co. Ltd.,CONSUMER SERVICES,INDHOTEL,350,3.07,61,16875.2,39683.7,0.55,0.76,1189258445,1189258445,20.23,24.64,47.07,38.74,,,
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,528,16.26,137,0,568.32,1.55,1.6,160000000,160000000,25.24,34.78,72.08,70.01,,,
Indian Railway Finance Corporation Ltd.,FINANCIAL SERVICES,IRFC,3692,1.33,-2,1709466.98,2305133.12,26.9,3.06,13068506000,13068506000,99.56,99.52,5.38,5.01,,,
Indraprastha Gas Ltd.,OIL & GAS,IGL,1094,16.55,596,0,761.8,1.46,1.39,700000800,700000800,24.03,25.63,93.23,85.96,,,
Indus Towers Ltd.,TELECOM,INDUSTOWER,1918,16.69,117,0,19674,2.41,1.29,1849608246,1849608246,53.53,59.66,39.84,34.13,,,
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,4458,1.45,1270,473211.22,607535.49,,,603138942,693566038,,,,,,,
Info Edge (India) Ltd.,CONSUMER SERVICES,NAUKRI,483,-8.19,303,3.74,568.62,3,2.38,122316159,122516159,37.62,36.36,36.09,45.25,,,
Infosys Ltd.,IT,INFY,16639,17.88,-919,0,40140,2.84,2.62,4295042444,4259154628,27.88,27.61,97.56,97.86,,,
InterGlobe Aviation Ltd.,SERVICES,INDIGO,-233,-0.55,-9,21936.69,159256.88,2.26,1.37,384656803,384796279,3.93,15.64,113.86,84.92,,,
Ipca Laboratories Ltd.,PHARMA,IPCALAB,611,11.52,-75,1408.5,1159.9,2.17,2.15,126352109,126352109,19.86,20.94,82.91,88.38,,,
JSW Energy Ltd.,POWER,JSWENERGY,1053,4.38,421,92403.5,83072.8,0.71,1.04,1641462966,1642786469,35.25,39.21,35.24,32.94,,,
JSW Steel Ltd.,METALS,JSWSTEEL,4009,3.05,-1615,296560,464170,0.8,0.83,2417220440,2417220440,22.6,16.93,73.75,55.62,,,
Jindal Steel & Power Ltd.,METALS,JINDALSTEL,-399,-0.12,364,299402.2,289820,0.67,0.69,1017961976,1020015971,21.38,21.34,43.94,41.13,,,
Jubilant Foodworks Ltd.,CONSUMER SERVICES,JUBLFOOD,278,8.3,167,0,15247.18,1.49,1.21,131969040,131969040,18.16,24.06,192,116.51,,,
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,8607,1.93,32815,664389.38,655767.17,,,1909336730,1978804377,,,,,,,
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,2403,1.1,-1433,1077494,1125997.9,5,4.14,504663000,504663000,93.68,91.78,8.66,9.09,,,
Larsen & Toubro Infotech Ltd.,IT,LTI,1520,17.22,110,0,7571,3.14,2.71,173529126,174182729,23.13,21.68,141.63,123.27,,,
Larsen & Toubro Ltd.,CONSTRUCTION,LT,10167,3.09,4809,741207.9,840729.3,1.25,1.26,1403091278,1403091278,12.69,12.84,48.57,47.2,,,
Laurus Labs Ltd.,PHARMA,LAURUSLABS,255,6.8,5.8,2587.13,1855.81,1.03,1.07,106436749,106914499,16.19,20.14,68.8,75.5,,,
Lupin Ltd.,PHARMA,LUPIN,-403,-1.07,1685,66417.2,20158.7,2.26,1.67,452590752,453091022,19.73,18.46,52.46,61.53,,,
MRF Ltd.,AUTOMOBILE,MRF,1422,7.31,1076,10547.3,11065.1,1.55,1.55,4241143,4241143,16.97,16.68,87.1,83.52,,,
Mahanagar Gas Ltd.,OIL & GAS,MGL,793,19.22,-11,0,490.01,1.43,1.59,98777778,98777778,34.5,38.75,81.11,71.99,,,
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,1039,1.31,245,408990.57,375328.47,2.56,2.17,617764960,617764960,70.39,59.69,13.9,14.52,,,
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,1685,0.07,-1393,435261.7,522980.5,1.18,1.19,1243192544,1243192544,15.55,18.86,64.09,45.13,,,
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,1480,5.06,2452,152992.04,210514.64,1.98,1.9,843165850,845176398,68.83,73.25,20.44,18.87,,,
Marico Ltd.,CONSUMER GOODS,MARICO,1043,20.54,45,140,1540,1.86,1.8,1290944398,1291075928,19.48,21.77,149.39,147.18,,,
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,5559,8.92,-165,80,652,0.87,0.75,302080060,302080060,15.76,14.07,134.54,118.91,,,
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,272,0.19,78,0,3192.16,28.41,189.47,269398737,269574504,2.61,2.48,29,24.47,,,
MindTree Ltd.,IT,MINDTREE,630,12.23,135,5,4964,3.24,2.46,164455516,164574066,16.43,14.9,168.01,150.57,,,
MphasiS Ltd.,IT,MPHASIS,1184,13.53,638,0,5844.4,2.06,2.04,186312925,186547811,19.4,20.67,104.88,101.02,,,
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,3168,5.71,3829,298656.13,406959.56,1.85,1.73,400702396,401037326,76.98,77.36,18.19,17.64,,,
